quarter,clv,active_customers,weighted_clv
2016Q3,0.0,4,0.0
2016Q4,0.0,322,0.0
2017Q1,11.946018760965407,5153,0.6307866119670735
2017Q2,26.992568525183447,9139,2.5277959990537
2017Q3,40.407579489011574,12335,5.107414698346718
2017Q4,28.564188529102392,17505,5.123693451126022
2018Q1,30.087146055881036,20767,6.402563425616427
2018Q2,39.247550945118654,19715,7.928818482441815
2018Q3,25.742974429556426,12645,3.335620937418572
2018Q4,0.0,4,0.0
